"year","age","px"
1950,0,0.89891091
1950,1,0.98003953
1950,2,0.98725897
1950,3,0.9917858
1950,4,0.99458395
1950,5,0.99629901
1950,6,0.99734556
1950,7,0.99798028
1950,8,0.99836337
1950,9,0.99858607
1950,10,0.99870264
1950,11,0.99874273
1950,12,0.99872312
1950,13,0.99865271
1950,14,0.99853749
1950,15,0.99838326
1950,16,0.99819775
1950,17,0.99799287
1950,18,0.99778121
1950,19,0.99757714
1950,20,0.99739074
1950,21,0.9972284
1950,22,0.99709106
1950,23,0.99697509
1950,24,0.99687237
1950,25,0.9967716
1950,26,0.99666181
1950,27,0.99653247
1950,28,0.99637986
1950,29,0.99620637
1950,30,0.99602068
1950,31,0.99583756
1950,32,0.99566394
1950,33,0.99549698
1950,34,0.99531673
1950,35,0.99508328
1950,36,0.99475253
1950,37,0.99427361
1950,38,0.99360846
1950,39,0.99274993
1950,40,0.99172647
1950,41,0.99063913
1950,42,0.98960877
1950,43,0.98872415
1950,44,0.98800338
1950,45,0.98731868
1950,46,0.98649643
1950,47,0.9853286
1950,48,0.98361787
1950,49,0.98128103
1950,50,0.97830104
1950,51,0.97487532
1950,52,0.97131527
1950,53,0.96782526
1950,54,0.96447177
1950,55,0.96082512
1950,56,0.95622366
1950,57,0.94996045
1950,58,0.94130408
1950,59,0.93041053
1950,60,0.91829817
1950,61,0.90739554
1950,62,0.90086927
1950,63,0.89989129
1950,64,0.9038718
1950,65,0.90998725
1950,66,0.91530647
1950,67,0.91816083
1950,68,0.9174504
1950,69,0.91310643
1950,70,0.90532708
1950,71,0.89473326
1950,72,0.88245809
1950,73,0.86951877
1950,74,0.85690853
1950,75,0.84510089
1950,76,0.83408066
1950,77,0.82363874
1950,78,0.81340935
1950,79,0.80310935
1950,80,0.79254104
1950,81,0.78159053
1950,82,0.77022926
1950,83,0.75848336
1950,84,0.74643741
1950,85,0.73420027
1950,86,0.72190256
1950,87,0.70961986
1950,88,0.6973494
1950,89,0.68502722
1950,90,0.67251362
1950,91,0.65972676
1950,92,0.64669212
1950,93,0.63356907
1950,94,0.62072534
1950,95,0.60898169
1950,96,0.59675823
1950,97,0.58472833
1950,98,0.57292138
1950,99,0.56136446
1950,100,0
1951,0,0.90819871
1951,1,0.98368946
1951,2,0.98925367
1951,3,0.99285594
1951,4,0.99515493
1951,5,0.99660798
1951,6,0.99751993
1951,7,0.99808717
1951,8,0.99843689
1951,9,0.99864396
1951,10,0.99875397
1951,11,0.99879212
1951,12,0.99877286
1951,13,0.99870349
1951,14,0.99858932
1951,15,0.99843573
1951,16,0.99825077
1951,17,0.99804723
1951,18,0.9978385
1951,19,0.99763957
1951,20,0.99746019
1951,21,0.99730554
1951,22,0.99717536
1951,23,0.99706496
1951,24,0.9969662
1951,25,0.99686857
1951,26,0.99676225
1951,27,0.99663817
1951,28,0.99649329
1951,29,0.99633
1951,30,0.99615611
1951,31,0.99598461
