"X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050","X2051","X2052","X2053","X2054","X2055","X2056","X2057","X2058","X2059","X2060","X2061","X2062","X2063","X2064","X2065","X2066","X2067","X2068","X2069","X2070","X2071","X2072","X2073","X2074","X2075","X2076","X2077","X2078","X2079","X2080","X2081","X2082","X2083","X2084","X2085","X2086","X2087","X2088","X2089","X2090","X2091","X2092","X2093","X2094","X2095","X2096","X2097","X2098","X2099","X2100"
19.235,21.835,23.014,24.143,25.235,26.217,27.073,27.985,28.419,28.115,27.656,27.24,26.869,26.532,26.198,25.764,25.091,24.182,23.11,22.061,21.503,21.468,21.535,21.478,21.023,20.317,19.854,19.38,18.787,18.295,18.573,20.05,21.209,21.258,21.073,21.14,20.569,20.526,22.943,24.74,24.7,25.019,25.317,25.352,25.499,25.292,24.971,24.716,24.084,23.03,22.834,22.81,21.794,20.742,20.038,20.053,20.509,21.014,21.593,21.503,20.857,20.878,21.86,22.484,22.71,23.262,23.424,23.119,22.935,22.966,22.689,21.989,21.845,22.669,23.488,23.989,24.401,24.689,24.907,24.991,24.933,24.759,24.474,24.128,23.679,23.091,22.394,21.61,20.765,19.891,19.016,18.199,17.474,16.86,16.36,15.986,15.737,15.566,15.476,15.477,15.537,15.642,15.781,15.971,16.18,16.399,16.631,16.856,17.064,17.23,17.356,17.426,17.447,17.427,17.37,17.25,17.062,16.813,16.546,16.272,15.984,15.695,15.398,15.101,14.807,14.527,14.265,14.044,13.873,13.727,13.599,13.496,13.424,13.39,13.398,13.436,13.467,13.502,13.562,13.62,13.661,13.701,13.751,13.79,13.81,13.802,13.761,13.682,13.588,13.495,13.396
16.537,18.822,21.19,22.381,23.517,24.61,25.579,26.434,27.368,27.851,27.637,27.263,26.913,26.594,26.303,26.008,25.593,24.914,23.977,22.872,21.796,21.247,21.281,21.428,21.393,20.858,20.047,19.555,19.066,18.442,18.124,18.7,19.936,20.596,20.506,20.34,20.345,20.064,20.637,23.148,24.93,25.042,25.381,25.612,25.585,25.637,25.322,24.921,24.637,23.944,22.963,22.91,22.782,21.703,20.856,20.51,20.718,21.16,21.762,22.25,21.904,21.422,21.546,22.227,22.823,23.153,23.645,23.753,23.305,22.985,22.832,22.452,22.151,22.211,22.791,23.55,24.038,24.446,24.737,24.945,25.021,24.968,24.8,24.52,24.174,23.713,23.116,22.422,21.645,20.797,19.915,19.035,18.221,17.502,16.885,16.387,16.017,15.762,15.598,15.515,15.51,15.572,15.693,15.835,16.009,16.215,16.442,16.677,16.895,17.098,17.259,17.384,17.459,17.483,17.464,17.393,17.265,17.09,16.851,16.581,16.314,16.03,15.739,15.439,15.13,14.826,14.556,14.301,14.072,13.893,13.744,13.616,13.511,13.441,13.411,13.418,13.451,13.483,13.523,13.579,13.635,13.68,13.726,13.777,13.807,13.825,13.818,13.775,13.695,13.602,13.514
15.6,16.73,18.905,21.1,22.297,23.424,24.503,25.453,26.299,27.227,27.724,27.566,27.242,26.924,26.63,26.363,26.085,25.672,24.971,23.991,22.825,21.695,21.154,21.253,21.468,21.444,20.816,19.89,19.359,18.847,18.334,18.33,18.939,19.888,20.366,20.178,19.979,20.084,19.927,20.62,23.267,25.102,25.183,25.456,25.649,25.636,25.709,25.416,25.014,24.649,23.918,23.171,23.206,22.93,21.903,21.233,21.016,21.211,21.701,22.367,22.791,22.537,22.078,21.955,22.508,23.049,23.267,23.647,23.637,23.096,22.563,22.398,22.458,22.373,22.32,22.853,23.601,24.084,24.494,24.776,24.976,25.056,25.01,24.846,24.565,24.208,23.739,23.145,22.457,21.676,20.822,19.935,19.056,18.247,17.526,16.91,16.416,16.042,15.794,15.636,15.547,15.544,15.62,15.745,15.872,16.044,16.256,16.485,16.713,16.927,17.127,17.286,17.415,17.494,17.518,17.486,17.409,17.292,17.125,16.884,16.621,16.359,16.073,15.778,15.466,15.148,14.854,14.59,14.327,14.092,13.911,13.761,13.63,13.527,13.461,13.431,13.432,13.466,13.502,13.538,13.592,13.653,13.703,13.752,13.794,13.822,13.84,13.832,13.788,13.709,13.62
14.773,15.87,17.149,19.221,21.23,22.399,23.491,24.52,25.431,26.268,27.177,27.677,27.564,27.279,26.983,26.709,26.46,26.197,25.783,25.055,24.007,22.765,21.605,21.081,21.244,21.527,21.51,20.789,19.746,19.177,18.761,18.476,18.561,19.047,19.851,20.218,20.02,19.906,20.086,19.992,20.737,23.391,25.207,25.239,25.473,25.675,25.684,25.77,25.462,24.979,24.566,23.927,23.157,23.067,22.878,22.024,21.428,21.177,21.403,21.968,22.554,22.967,22.762,22.151,21.907,22.446,22.894,23.008,23.313,23.216,22.486,21.95,22.241,22.6,22.471,22.381,22.901,23.645,24.13,24.532,24.806,25.011,25.097,25.054,24.889,24.598,24.233,23.767,23.178,22.488,21.7,20.841,19.956,19.083,18.271,17.551,16.939,16.441,16.073,15.83,15.666,15.579,15.591,15.671,15.78,15.904,16.082,16.297,16.52,16.745,16.954,17.152,17.316,17.448,17.527,17.54,17.501,17.433,17.326,17.157,16.922,16.663,16.399,16.11,15.805,15.483,15.175,14.886,14.614,14.347,14.108,13.927,13.775,13.646,13.547,13.479,13.444,13.447,13.485,13.517,13.551,13.61,13.675,13.727,13.768,13.808,13.836,13.854,13.843,13.801,13.726
14.041,14.959,16.204,17.629,19.593,21.413,22.551,23.574,24.531,25.427,26.267,27.155,27.655,27.581,27.334,27.061,26.805,26.573,26.322,25.907,25.125,23.985,22.693,21.523,21.015,21.241,21.591,21.582,20.767,19.607,19.09,18.878,18.647,18.654,19.08,19.774,20.099,19.979,19.927,20.152,20.105,20.846,23.468,25.25,25.27,25.506,25.71,25.739,25.816,25.422,24.892,24.561,23.837,22.923,22.977,22.977,22.186,21.556,21.313,21.617,22.127,22.649,23.057,22.747,22.064,21.816,22.284,22.631,22.674,22.887,22.608,21.912,21.838,22.391,22.686,22.527,22.425,22.942,23.689,24.166,24.561,24.839,25.049,25.138,25.095,24.921,24.622,24.26,23.799,23.207,22.51,21.718,20.861,19.98,19.105,18.294,17.578,16.962,16.47,16.107,15.859,15.697,15.623,15.637,15.704,15.81,15.941,16.121,16.331,16.549,16.77,16.978,17.18,17.348,17.48,17.547,17.554,17.526,17.466,17.357,17.194,16.963,16.701,16.434,16.134,15.82,15.509,15.204,14.909,14.633,14.361,14.123,13.94,13.79,13.665,13.565,13.493,13.459,13.464,13.498,13.529,13.567,13.63,13.698,13.742,13.781,13.822,13.849,13.864,13.855,13.817
13.448,14.128,15.187,16.577,18.145,20.002,21.631,22.688,23.612,24.539,25.444,26.285,27.151,27.65,27.615,27.401,27.151,26.912,26.696,26.456,26.002,25.145,23.945,22.626,21.445,20.953,21.244,21.66,21.657,20.75,19.559,19.178,19.02,18.712,18.689,19.089,19.732,20.086,20.023,20.007,20.276,20.223,20.921,23.495,25.275,25.322,25.552,25.751,25.781,25.796,25.372,24.929,24.503,23.625,22.842,23.073,23.138,22.321,21.68,21.503,21.769,22.198,22.67,22.972,22.615,21.951,21.662,22.058,22.348,22.305,22.335,22.088,21.855,22.005,22.468,22.741,22.57,22.466,22.985,23.724,24.194,24.593,24.875,25.088,25.177,25.125,24.944,24.648,24.291,23.826,23.23,22.529,21.738,20.885,20.002,19.128,18.32,17.599,16.989,16.502,16.134,15.889,15.739,15.668,15.669,15.732,15.845,15.979,16.153,16.358,16.574,16.794,17.005,17.21,17.378,17.499,17.561,17.576,17.556,17.495,17.391,17.232,16.999,16.735,16.458,16.151,15.845,15.537,15.227,14.927,14.648,14.376,14.136,13.954,13.807,13.681,13.578,13.507,13.475,13.477,13.51,13.544,13.588,13.652,13.712,13.755,13.794,13.834,13.86,13.877,13.87
12.981,13.428,14.242,15.441,16.976,18.684,20.432,21.814,22.749,23.628,24.561,25.474,26.316,27.158,27.656,27.659,27.479,27.248,27.024,26.823,26.567,26.047,25.141,23.911,22.561,21.372,20.896,21.25,21.731,21.736,20.802,19.658,19.293,19.073,18.731,18.703,19.12,19.758,20.111,20.09,20.119,20.394,20.305,20.951,23.506,25.311,25.387,25.613,25.785,25.765,25.77,25.439,24.955,24.397,23.637,23.007,23.247,23.291,22.472,21.858,21.64,21.832,22.193,22.563,22.817,22.491,21.814,21.462,21.823,22.05,21.836,21.889,22.084,22.043,22.073,22.518,22.782,22.609,22.506,23.018,23.75,24.224,24.627,24.913,25.125,25.206,25.147,24.968,24.677,24.317,23.847,23.246,22.546,21.76,20.906,20.023,19.152,18.341,17.625,17.02,16.528,16.163,15.928,15.781,15.697,15.697,15.765,15.88,16.008,16.18,16.383,16.596,16.819,17.034,17.239,17.396,17.512,17.582,17.606,17.584,17.527,17.427,17.266,17.03,16.757,16.472,16.173,15.871,15.558,15.243,14.941,14.661,14.387,14.149,13.97,13.823,13.694,13.59,13.522,13.488,13.489,13.525,13.563,13.607,13.665,13.724,13.767,13.806,13.844,13.871,13.89
12.643,12.886,13.426,14.373,15.711,17.392,19.239,20.816,21.903,22.774,23.654,24.593,25.514,26.355,27.174,27.669,27.709,27.561,27.349,27.14,26.945,26.651,26.075,25.14,23.88,22.502,21.301,20.841,21.257,21.803,21.84,20.938,19.765,19.32,19.081,18.732,18.739,19.209,19.809,20.151,20.178,20.22,20.468,20.338,20.962,23.522,25.352,25.463,25.668,25.764,25.726,25.808,25.453,24.865,24.436,23.821,23.162,23.377,23.436,22.635,21.968,21.677,21.794,22.062,22.395,22.66,22.338,21.63,21.25,21.57,21.625,21.422,21.911,22.274,22.104,22.122,22.558,22.818,22.647,22.538,23.043,23.778,24.257,24.663,24.949,25.153,25.227,25.17,24.995,24.701,24.337,23.863,23.264,22.567,21.779,20.925,20.047,19.172,18.366,17.656,17.046,16.555,16.2,15.969,15.81,15.723,15.728,15.8,15.909,16.034,16.201,16.403,16.62,16.846,17.061,17.256,17.408,17.532,17.61,17.632,17.614,17.562,17.459,17.296,17.052,16.771,16.494,16.198,15.892,15.574,15.257,14.954,14.672,14.4,14.165,13.985,13.835,13.705,13.604,13.534,13.498,13.502,13.543,13.583,13.621,13.677,13.736,13.778,13.815,13.854,13.884
12.423,12.543,12.8,13.435,14.516,15.996,17.82,19.658,21.012,21.948,22.806,23.686,24.632,25.559,26.4,27.195,27.686,27.762,27.646,27.453,27.249,27.05,26.73,26.104,25.141,23.851,22.444,21.233,20.788,21.265,21.883,21.968,21.049,19.802,19.315,19.072,18.744,18.831,19.34,19.899,20.236,20.274,20.288,20.501,20.354,20.977,23.547,25.41,25.538,25.675,25.724,25.73,25.762,25.31,24.832,24.543,23.933,23.255,23.492,23.581,22.718,21.983,21.634,21.657,21.886,22.224,22.489,22.149,21.427,21.026,21.173,21.215,21.434,22.087,22.328,22.15,22.16,22.593,22.855,22.677,22.562,23.07,23.81,24.291,24.697,24.975,25.174,25.25,25.197,25.02,24.721,24.352,23.88,23.284,22.586,21.799,20.948,20.066,19.195,18.394,17.679,17.071,16.59,16.238,15.996,15.835,15.754,15.761,15.827,15.934,16.055,16.221,16.426,16.646,16.872,17.078,17.268,17.428,17.559,17.635,17.662,17.647,17.593,17.488,17.316,17.064,16.792,16.519,16.218,15.906,15.586,15.269,14.964,14.684,14.415,14.179,13.996,13.845,13.719,13.616,13.544,13.511,13.52,13.562,13.595,13.632,13.688,13.746,13.787,13.825,13.867
12.273,12.386,12.451,12.724,13.453,14.668,16.288,18.155,19.863,21.093,21.999,22.843,23.724,24.675,25.609,26.448,27.217,27.704,27.816,27.733,27.56,27.351,27.148,26.811,26.134,25.144,23.824,22.387,21.165,20.735,21.282,21.971,22.064,21.11,19.817,19.3,19.078,18.811,18.965,19.512,20.046,20.347,20.356,20.328,20.527,20.384,21.012,23.599,25.476,25.58,25.68,25.744,25.682,25.606,25.241,24.899,24.639,24.028,23.388,23.643,23.671,22.747,21.968,21.547,21.528,21.75,22.079,22.323,21.973,21.232,20.677,20.813,21.259,21.625,22.137,22.373,22.186,22.192,22.628,22.884,22.701,22.588,23.101,23.843,24.323,24.722,24.994,25.194,25.274,25.22,25.038,24.735,24.367,23.899,23.302,22.604,21.82,20.966,20.088,19.223,18.417,17.703,17.105,16.627,16.265,16.02,15.864,15.785,15.787,15.85,15.954,16.073,16.244,16.451,16.672,16.889,17.089,17.287,17.453,17.583,17.663,17.693,17.677,17.621,17.508,17.329,17.084,16.815,16.537,16.233,15.919,15.598,15.28,14.976,14.699,14.43,14.19,14.007,13.859,13.73,13.626,13.556,13.527,13.537,13.573,13.606,13.643,13.698,13.755,13.797,13.838
12.177,12.313,12.354,12.364,12.653,13.476,14.823,16.523,18.353,19.989,21.175,22.052,22.883,23.764,24.721,25.662,26.498,27.241,27.724,27.872,27.835,27.683,27.455,27.247,26.891,26.166,25.148,23.799,22.332,21.098,20.709,21.334,22.044,22.125,21.158,19.83,19.302,19.137,18.921,19.146,19.726,20.2,20.453,20.42,20.374,20.584,20.448,21.09,23.675,25.532,25.617,25.734,25.743,25.567,25.558,25.328,25.006,24.754,24.207,23.584,23.772,23.745,22.784,21.953,21.506,21.479,21.691,21.99,22.221,21.852,20.953,20.4,20.948,21.492,21.671,22.179,22.407,22.218,22.227,22.655,22.905,22.725,22.617,23.132,23.874,24.348,24.741,25.015,25.218,25.297,25.236,25.052,24.75,24.386,23.916,23.319,22.625,21.837,20.988,20.114,19.244,18.44,17.736,17.14,16.652,16.287,16.047,15.893,15.81,15.809,15.87,15.972,16.095,16.267,16.475,16.687,16.899,17.107,17.311,17.476,17.61,17.694,17.721,17.703,17.639,17.52,17.348,17.107,16.833,16.551,16.244,15.93,15.608,15.29,14.989,14.712,14.44,14.2,14.02,13.87,13.739,13.638,13.572,13.545,13.549,13.583,13.616,13.652,13.707,13.765,13.809
12.162,12.277,12.355,12.325,12.281,12.585,13.502,14.948,16.68,18.506,20.118,21.261,22.108,22.924,23.806,24.768,25.713,26.547,27.265,27.745,27.951,27.971,27.817,27.559,27.346,26.973,26.2,25.154,23.773,22.276,21.075,20.766,21.41,22.103,22.192,21.215,19.868,19.363,19.252,19.1,19.375,19.927,20.347,20.57,20.52,20.48,20.713,20.591,21.225,23.773,25.612,25.715,25.774,25.7,25.585,25.696,25.498,25.2,25.017,24.491,23.811,23.958,23.908,22.906,22.06,21.622,21.594,21.78,22.066,22.271,21.724,20.819,20.686,21.254,21.537,21.711,22.212,22.438,22.25,22.252,22.675,22.929,22.753,22.647,23.162,23.896,24.365,24.759,25.037,25.239,25.313,25.25,25.066,24.768,24.402,23.933,23.338,22.641,21.858,21.012,20.134,19.267,18.471,17.77,17.164,16.674,16.314,16.076,15.917,15.831,15.828,15.887,15.992,16.118,16.291,16.489,16.697,16.916,17.13,17.333,17.502,17.639,17.721,17.747,17.721,17.651,17.538,17.369,17.124,16.846,16.561,16.255,15.94,15.619,15.304,15.002,14.722,14.449,14.213,14.03,13.879,13.752,13.653,13.589,13.556,13.559,13.594,13.626,13.66,13.716,13.776
