"X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050","X2051","X2052","X2053","X2054","X2055","X2056","X2057","X2058","X2059","X2060","X2061","X2062","X2063","X2064","X2065","X2066","X2067","X2068","X2069","X2070","X2071","X2072","X2073","X2074","X2075","X2076","X2077","X2078","X2079","X2080","X2081","X2082","X2083","X2084","X2085","X2086","X2087","X2088","X2089","X2090","X2091","X2092","X2093","X2094","X2095","X2096","X2097","X2098","X2099","X2100"
20.436,23.27,24.685,26.038,27.358,28.553,29.599,30.41,30.442,29.989,29.622,29.247,28.864,28.507,28.155,27.72,27.061,26.14,25.015,23.754,22.889,22.785,22.949,22.943,22.5,21.787,21.326,20.837,20.247,19.91,20.247,21.62,22.881,22.999,22.674,22.698,22.142,22.061,24.54,26.425,26.456,26.752,26.834,26.926,27.18,26.968,26.66,26.339,25.602,24.541,24.428,24.387,23.191,21.855,21.058,21.074,21.52,22.105,22.692,22.552,21.866,21.927,23.02,23.657,23.787,24.258,24.416,24.078,23.824,23.741,23.47,22.884,22.805,23.849,24.88,25.419,25.86,26.166,26.399,26.491,26.43,26.244,25.945,25.58,25.104,24.482,23.744,22.916,22.021,21.093,20.167,19.302,18.534,17.882,17.354,16.957,16.692,16.512,16.416,16.418,16.482,16.593,16.741,16.942,17.163,17.396,17.643,17.881,18.102,18.278,18.41,18.483,18.506,18.486,18.427,18.301,18.1,17.835,17.551,17.259,16.953,16.646,16.333,16.019,15.709,15.414,15.136,14.899,14.717,14.561,14.425,14.318,14.242,14.204,14.211,14.252,14.287,14.324,14.386,14.447,14.489,14.533,14.585,14.626,14.648,14.639,14.597,14.515,14.418,14.319,14.212
17.624,19.951,22.561,24,25.36,26.689,27.877,28.877,29.657,29.771,29.458,29.192,28.892,28.569,28.261,27.951,27.538,26.875,25.924,24.757,23.433,22.566,22.553,22.805,22.821,22.29,21.468,20.98,20.473,19.855,19.701,20.316,21.472,22.251,22.18,21.849,21.843,21.61,22.141,24.68,26.573,26.824,27.026,27.044,27.141,27.294,26.968,26.546,26.149,25.38,24.474,24.497,24.332,22.984,21.829,21.422,21.593,22.034,22.703,23.148,22.724,22.197,22.375,23.182,23.793,24.018,24.451,24.59,24.125,23.675,23.381,23.069,22.908,23.096,23.975,24.949,25.476,25.913,26.222,26.445,26.529,26.473,26.294,25.998,25.633,25.146,24.516,23.782,22.959,22.063,21.128,20.196,19.332,18.57,17.917,17.389,16.997,16.727,16.554,16.465,16.459,16.526,16.652,16.803,16.989,17.208,17.448,17.698,17.928,18.145,18.316,18.447,18.525,18.552,18.531,18.459,18.326,18.136,17.881,17.595,17.31,17.008,16.699,16.383,16.056,15.736,15.451,15.178,14.935,14.746,14.587,14.45,14.341,14.267,14.234,14.24,14.276,14.31,14.352,14.411,14.47,14.516,14.565,14.618,14.651,14.671,14.662,14.618,14.535,14.438,14.343
16.715,17.848,20.093,22.528,23.974,25.328,26.651,27.782,28.698,29.468,29.657,29.438,29.235,28.972,28.674,28.389,28.094,27.681,26.992,25.994,24.724,23.297,22.454,22.538,22.861,22.884,22.25,21.306,20.779,20.244,19.733,19.892,20.549,21.424,22.019,21.846,21.48,21.576,21.468,22.111,24.782,26.747,26.959,27.077,27.067,27.195,27.364,27.037,26.598,26.139,25.363,24.704,24.811,24.483,23.184,22.223,21.93,22.063,22.546,23.245,23.608,23.25,22.726,22.672,23.361,23.955,24.084,24.43,24.497,23.941,23.255,22.968,23.116,23.143,23.21,24.045,25.007,25.531,25.97,26.271,26.486,26.573,26.523,26.348,26.052,25.677,25.183,24.555,23.826,23.001,22.098,21.158,20.228,19.37,18.605,17.953,17.429,17.033,16.77,16.602,16.506,16.504,16.584,16.713,16.849,17.033,17.258,17.5,17.744,17.971,18.183,18.352,18.487,18.57,18.596,18.563,18.483,18.361,18.181,17.924,17.644,17.363,17.058,16.747,16.419,16.083,15.773,15.493,15.213,14.964,14.773,14.613,14.473,14.366,14.296,14.261,14.263,14.3,14.338,14.376,14.432,14.495,14.547,14.598,14.643,14.673,14.693,14.684,14.639,14.556,14.463
15.838,17.055,18.372,20.546,22.804,24.223,25.532,26.76,27.776,28.645,29.423,29.666,29.524,29.367,29.13,28.847,28.574,28.29,27.872,27.152,26.039,24.621,23.151,22.371,22.548,22.942,22.969,22.232,21.164,20.596,20.161,19.874,20.113,20.65,21.39,21.879,21.693,21.416,21.598,21.55,22.245,24.93,26.867,27.014,27.084,27.073,27.227,27.406,27.049,26.537,26.056,25.382,24.685,24.666,24.419,23.305,22.432,22.097,22.25,22.802,23.409,23.72,23.406,22.759,22.582,23.271,23.806,23.831,24.122,24.127,23.376,22.695,22.886,23.302,23.244,23.276,24.1,25.059,25.584,26.016,26.309,26.529,26.622,26.575,26.399,26.094,25.712,25.22,24.597,23.866,23.034,22.126,21.188,20.264,19.403,18.639,17.991,17.462,17.073,16.814,16.642,16.549,16.558,16.642,16.758,16.89,17.08,17.308,17.544,17.784,18.006,18.218,18.391,18.529,18.611,18.627,18.587,18.517,18.404,18.221,17.971,17.694,17.41,17.103,16.781,16.444,16.118,15.813,15.527,15.241,14.989,14.797,14.634,14.497,14.393,14.322,14.284,14.285,14.325,14.36,14.396,14.457,14.524,14.578,14.62,14.664,14.694,14.713,14.703,14.659,14.579
15.015,16.11,17.485,18.977,21.07,23.147,24.53,25.721,26.795,27.758,28.631,29.413,29.707,29.637,29.522,29.308,29.038,28.777,28.502,28.078,27.255,25.971,24.476,23.015,22.295,22.564,23.029,23.059,22.218,21.026,20.515,20.289,20.047,20.195,20.674,21.317,21.768,21.664,21.456,21.686,21.684,22.38,25.023,26.915,27.049,27.102,27.093,27.279,27.438,26.993,26.456,26.064,25.294,24.461,24.573,24.503,23.459,22.558,22.242,22.462,22.939,23.475,23.766,23.364,22.659,22.49,23.142,23.581,23.544,23.77,23.591,22.859,22.651,23.078,23.392,23.308,23.329,24.15,25.11,25.628,26.053,26.35,26.575,26.671,26.624,26.439,26.127,25.746,25.259,24.634,23.897,23.061,22.154,21.221,20.294,19.435,18.674,18.021,17.5,17.116,16.852,16.68,16.599,16.613,16.683,16.797,16.936,17.128,17.349,17.582,17.817,18.039,18.254,18.431,18.569,18.64,18.649,18.619,18.558,18.442,18.265,18.017,17.739,17.453,17.136,16.805,16.477,16.155,15.844,15.553,15.264,15.011,14.818,14.656,14.523,14.418,14.342,14.305,14.309,14.346,14.38,14.419,14.484,14.553,14.6,14.64,14.684,14.713,14.73,14.72,14.68
14.285,15.195,16.432,17.965,19.625,21.634,23.528,24.785,25.796,26.799,27.766,28.641,29.424,29.767,29.765,29.691,29.498,29.242,28.992,28.724,28.215,27.227,25.849,24.337,22.884,22.224,22.586,23.119,23.153,22.206,20.982,20.607,20.428,20.099,20.209,20.667,21.271,21.762,21.72,21.55,21.822,21.82,22.463,25.049,26.945,27.1,27.14,27.139,27.326,27.411,26.948,26.514,26.013,25.084,24.384,24.672,24.662,23.588,22.695,22.434,22.589,22.994,23.473,23.664,23.236,22.562,22.373,22.955,23.356,23.264,23.287,23.115,22.831,22.831,23.158,23.453,23.358,23.377,24.199,25.153,25.664,26.092,26.393,26.621,26.717,26.662,26.47,26.16,25.785,25.295,24.665,23.924,23.088,22.186,21.251,20.325,19.469,18.704,18.058,17.541,17.151,16.89,16.73,16.651,16.652,16.72,16.839,16.98,17.166,17.385,17.614,17.849,18.073,18.291,18.468,18.596,18.662,18.68,18.657,18.593,18.483,18.311,18.061,17.779,17.484,17.159,16.837,16.512,16.184,15.868,15.575,15.286,15.031,14.838,14.681,14.546,14.438,14.363,14.328,14.329,14.364,14.401,14.445,14.512,14.575,14.618,14.659,14.701,14.73,14.748,14.742
13.651,14.371,15.405,16.784,18.471,20.296,22.221,23.83,24.887,25.814,26.82,27.791,28.665,29.448,29.838,29.904,29.87,29.698,29.454,29.215,28.88,28.216,27.134,25.732,24.201,22.758,22.158,22.61,23.212,23.25,22.267,21.082,20.717,20.47,20.105,20.2,20.675,21.291,21.79,21.793,21.672,21.948,21.903,22.485,25.058,26.983,27.16,27.2,27.173,27.305,27.394,27.045,26.561,25.906,25.082,24.543,24.854,24.823,23.743,22.866,22.541,22.626,22.977,23.351,23.509,23.13,22.465,22.218,22.768,23.138,22.855,22.866,23.111,23.009,22.901,23.215,23.5,23.402,23.423,24.239,25.186,25.701,26.134,26.438,26.665,26.753,26.692,26.502,26.195,25.817,25.323,24.689,23.949,23.119,22.215,21.28,20.357,19.497,18.738,18.096,17.574,17.186,16.936,16.779,16.689,16.688,16.761,16.881,17.017,17.201,17.416,17.644,17.881,18.109,18.327,18.494,18.616,18.691,18.715,18.692,18.634,18.526,18.351,18.099,17.808,17.506,17.189,16.87,16.541,16.209,15.89,15.595,15.305,15.051,14.861,14.703,14.565,14.457,14.384,14.346,14.347,14.385,14.426,14.472,14.531,14.592,14.636,14.677,14.717,14.747,14.768
13.126,13.678,14.475,15.63,17.151,18.991,20.982,22.718,23.956,24.914,25.845,26.852,27.825,28.698,29.479,29.916,30.05,30.055,29.904,29.672,29.381,28.915,28.157,27.044,25.616,24.07,22.634,22.093,22.636,23.308,23.37,22.407,21.192,20.745,20.474,20.091,20.21,20.745,21.338,21.834,21.895,21.782,22.02,21.924,22.488,25.071,27.026,27.236,27.247,27.147,27.261,27.441,27.081,26.488,25.941,25.245,24.698,24.993,24.966,23.883,22.933,22.55,22.58,22.835,23.182,23.37,23.003,22.317,22.033,22.55,22.762,22.468,22.889,23.296,23.072,22.956,23.261,23.543,23.447,23.462,24.271,25.221,25.741,26.176,26.48,26.7,26.782,26.721,26.536,26.228,25.845,25.347,24.714,23.977,23.145,22.242,21.311,20.384,19.529,18.775,18.128,17.608,17.23,16.983,16.814,16.723,16.726,16.801,16.917,17.05,17.23,17.444,17.675,17.916,18.143,18.352,18.514,18.645,18.725,18.749,18.729,18.674,18.565,18.387,18.127,17.829,17.535,17.221,16.897,16.563,16.228,15.909,15.613,15.323,15.073,14.883,14.721,14.583,14.477,14.402,14.363,14.367,14.409,14.451,14.49,14.548,14.609,14.652,14.691,14.733,14.766
12.711,13.17,13.716,14.589,15.867,17.529,19.522,21.488,22.946,24,24.95,25.882,26.89,27.864,28.735,29.515,29.999,30.201,30.245,30.114,29.831,29.43,28.895,28.098,26.956,25.503,23.941,22.513,22.029,22.665,23.41,23.509,22.518,21.233,20.74,20.459,20.09,20.279,20.86,21.424,21.93,22.003,21.849,22.047,21.939,22.505,25.098,27.09,27.305,27.242,27.1,27.258,27.387,26.943,26.454,26.029,25.345,24.776,25.097,25.082,23.923,22.922,22.492,22.447,22.677,23.029,23.221,22.841,22.136,21.822,22.182,22.391,22.485,23.058,23.354,23.125,23,23.302,23.585,23.483,23.491,24.305,25.259,25.781,26.216,26.512,26.727,26.81,26.754,26.567,26.253,25.867,25.37,24.741,24.003,23.172,22.271,21.337,20.415,19.564,18.805,18.16,17.65,17.275,17.017,16.846,16.759,16.765,16.835,16.948,17.078,17.257,17.474,17.708,17.948,18.167,18.37,18.54,18.677,18.756,18.784,18.767,18.71,18.599,18.413,18.146,17.857,17.564,17.245,16.918,16.582,16.247,15.926,15.631,15.345,15.094,14.9,14.738,14.602,14.495,14.418,14.382,14.389,14.433,14.469,14.506,14.565,14.625,14.668,14.707,14.752
12.364,12.843,13.22,13.759,14.71,16.111,17.913,19.925,21.709,23.02,24.05,24.99,25.923,26.93,27.907,28.775,29.555,30.084,30.354,30.438,30.279,29.885,29.424,28.875,28.038,26.869,25.392,23.812,22.392,21.968,22.706,23.523,23.614,22.576,21.252,20.726,20.46,20.145,20.391,21.017,21.575,22.054,22.088,21.89,22.082,21.979,22.55,25.162,27.156,27.332,27.242,27.117,27.203,27.236,26.875,26.505,26.104,25.423,24.887,25.227,25.15,23.936,22.898,22.407,22.334,22.564,22.918,23.098,22.718,21.988,21.523,21.876,22.448,22.668,23.11,23.402,23.166,23.038,23.342,23.62,23.512,23.524,24.341,25.298,25.82,26.247,26.538,26.753,26.841,26.784,26.592,26.276,25.89,25.396,24.765,24.028,23.2,22.296,21.366,20.448,19.593,18.836,18.2,17.692,17.308,17.047,16.881,16.797,16.797,16.864,16.974,17.104,17.285,17.505,17.739,17.971,18.184,18.395,18.572,18.707,18.791,18.822,18.803,18.744,18.625,18.433,18.172,17.886,17.59,17.267,16.936,16.599,16.262,15.943,15.651,15.364,15.11,14.916,14.757,14.618,14.509,14.436,14.403,14.412,14.45,14.485,14.523,14.58,14.639,14.682,14.724
